rute_100m sum
22573006655200 15
22573006655300 12
22573006655400 21
22573006655500 6
22573006655600 16
22573006655700 37
22573006655800 34
22573006655900 10
22573006656000 18
22573006656100 42
22573006656200 51
22573006656300 18
22573006656400 26
22573006656500 39
22573006656600 29
22573006656800 29
22573006656900 31
22574006650100 6
22574006650300 59
22574006650400 53
22574006650500 38
22574006650600 42
22574006650700 53
22574006650800 52
22574006650900 28
22574006651000 30
22574006651100 31
22574006651200 32
22574006651300 41
22574006651400 31
22574006651500 40
22574006651600 69
22574006651700 26
22574006651800 17
22574006651900 82
22574006652000 8
22574006653600 24
22574006653800 10
22574006653900 121
22574006654000 177
22574006654100 181
22574006654200 43
22574006654400 11
22574006654500 38
22574006654600 42
22574006654700 36
22574006654800 24
22574006654900 33
22574006655000 40
22574006655100 19
22574006655200 23
22574006655300 25
22574006655400 18
22574006655500 15
22574006655600 34
22574006655700 11
22574006655800 28
22574006656000 40
22574006656100 21
22574006656200 32
22574006656300 11
22574006656500 14
22574006656600 11
22574006656900 21
22574006657000 17
22574006657100 5
22574006657200 13
22574006657300 11
22574006657400 10
22575006650100 7
22575006650300 10
22575006650400 45
22575006650500 35
22575006650600 28
22575006650700 31
22575006650800 16
22575006650900 46
22575006651000 16
22575006651100 39
22575006651200 67
22575006651300 69
22575006652000 23
22575006652100 35
22575006652200 41
22575006652300 60
22575006652400 72
22575006653100 17
22575006653200 23
22575006653500 43
22575006653600 44
22575006653700 66
22575006653800 52
22575006653900 103
22575006654000 80
22575006654200 7
22575006654300 11
22575006654400 27
22575006654500 50
22575006654600 40
22575006654700 35
22575006654800 38
22575006654900 14
22575006655000 18
22575006655100 13
22575006655200 13
22575006655300 29
22575006655400 16
22575006655500 21
22575006655600 8
22575006655700 9
22575006655800 24
22575006655900 15
22575006656000 29
22575006656100 26
22575006656200 16
22575006657000 76
22575006657100 8
22575006657200 13
22575006657300 42
22575006657500 8
22576006650200 12
22576006650300 38
22576006650400 26
22576006650500 49
22576006650600 97
22576006650700 64
22576006650800 27
22576006650900 13
22576006651000 24
22576006651100 12
22576006651200 26
22576006651300 83
22576006651400 18
22576006651800 13
22576006651900 35
22576006652000 39
22576006652100 105
22576006652200 7
22576006652300 46
22576006652400 41
22576006653100 51
22576006653200 61
22576006653300 12
22576006653400 19
22576006653500 30
22576006653600 97
22576006653700 128
22576006653800 72
22576006653900 14
22576006654000 50
22576006654100 23
22576006654200 28
22576006654300 22
22576006654400 32
22576006654500 64
22576006654600 11
22576006654700 20
22576006654800 41
22576006654900 23
22576006655000 15
22576006655100 36
22576006655200 44
22576006655300 21
22576006655400 26
22576006655500 20
22576006655600 17
22576006655700 31
22576006655800 22
22576006655900 18
22576006656000 35
22576006656800 10
22576006657000 26
22576006657100 54
22576006657300 14
22576006657600 16
22577006650200 13
22577006650300 97
22577006650400 45
22577006650500 16
22577006650600 52
22577006650700 18
22577006650800 29
22577006650900 25
22577006651000 24
22577006651100 29
22577006651200 16
22577006651300 34
22577006651400 71
22577006651700 17
22577006651800 14
22577006651900 22
22577006652000 46
22577006652100 28
22577006652200 26
22577006652300 45
22577006652400 28
22577006652500 5
22577006653000 15
22577006653100 62
22577006653200 40
22577006653300 35
22577006653400 21
22577006653500 55
22577006653600 62
22577006653700 81
22577006653800 58
22577006653900 33
22577006654000 35
22577006654100 47
22577006654200 91
22577006654300 20
22577006654400 17
22577006654500 18
22577006654600 11
22577006654700 28
22577006654800 17
22577006654900 19
22577006655000 29
22577006655100 23
22577006655200 9
22577006655500 25
22577006655600 26
22577006655700 21
22577006655800 18
22577006655900 5
22577006656000 7
22577006656200 9
22577006657100 16
22578006650300 38
22578006650400 34
22578006650500 14
22578006650600 18
22578006650700 89
22578006650800 29
22578006650900 44
22578006651000 68
22578006651100 37
22578006651200 21
22578006651300 16
22578006651400 31
22578006651500 27
22578006651700 24
22578006651800 22
22578006651900 14
22578006652000 11
22578006652100 25
22578006652200 46
22578006652300 54
22578006652400 36
22578006652500 15
22578006652900 21
22578006653000 9
22578006653100 47
22578006653200 16
22578006653300 47
22578006653400 21
22578006653500 120
22578006653600 85
22578006653700 73
22578006653800 44
22578006653900 49
22578006654000 51
22578006654100 134
22578006654200 121
22578006654300 52
22578006654400 109
22578006654500 23
22578006654600 13
22578006654700 6
22578006654800 19
22578006654900 20
22578006655000 15
22578006655300 13
22578006655400 15
22578006655500 15
22578006655600 20
22578006655700 15
22578006655800 8
22578006655900 13
22578006656100 7
22578006656800 27
22578006657100 49
22578006657200 22
22579006647900 7
22579006648500 11
22579006648600 11
22579006650300 17
22579006650400 44
22579006650500 38
22579006650700 142
22579006650800 133
22579006650900 91
22579006651000 30
22579006651100 52
22579006651200 19
22579006651300 34
22579006651400 25
22579006651500 51
22579006651700 6
22579006651800 36
22579006651900 42
22579006652100 12
22579006652200 36
22579006652300 42
22579006652400 42
22579006652500 35
22579006652600 9
22579006652900 38
22579006653000 57
22579006653100 28
22579006653200 29
22579006653300 33
22579006653400 17
22579006653500 46
22579006653600 51
22579006653700 28
22579006653800 47
22579006653900 35
22579006654000 52
22579006654200 55
22579006654300 59
22579006654400 71
22579006654500 21
22579006654600 26
22579006654700 13
22579006654800 6
22579006654900 37
22579006655000 19
22579006655500 15
22579006655600 65
22579006655700 25
22579006656600 8
22579006657100 30
22579006657200 10
22580006647800 6
22580006647900 11
22580006648000 19
22580006648100 37
22580006648200 18
22580006648300 38
22580006648400 23
22580006648500 12
22580006648600 38
22580006650400 8
22580006650500 41
22580006650600 22
22580006650800 152
22580006650900 69
22580006651000 39
22580006651100 31
22580006651200 81
22580006651300 15
22580006651400 31
22580006651500 39
22580006651600 9
22580006651700 39
22580006651800 97
22580006651900 27
22580006652200 14
22580006652300 35
22580006652400 21
22580006652500 41
22580006652600 8
22580006652900 35
22580006653000 29
22580006653100 40
22580006653200 36
22580006653300 5
22580006653400 79
22580006653500 72
22580006653600 38
22580006653700 45
22580006653800 39
22580006653900 40
22580006654000 31
22580006654100 138
22580006654200 71
22580006654300 30
22580006654400 44
22580006654500 34
22580006654600 43
22580006654700 23
22580006654800 12
22580006654900 13
22580006655000 30
22580006655900 8
22580006656000 26
22580006657000 23
22580006657100 6
22581006648000 13
22581006648100 58
22581006648200 36
22581006648300 34
22581006648400 28
22581006648500 44
22581006648600 24
22581006648700 6
22581006648800 5
22581006649700 13
22581006650500 17
22581006650600 32
22581006650800 73
22581006651000 7
22581006651100 149
22581006651200 63
22581006651300 55
22581006651400 21
22581006651500 30
22581006651600 51
22581006651700 60
22581006651800 66
22581006651900 13
22581006652000 19
22581006652200 33
22581006652300 18
22581006652400 33
22581006652500 41
22581006652600 22
22581006652800 12
22581006652900 32
22581006653000 43
22581006653100 38
22581006653200 16
22581006653400 35
22581006653500 20
22581006653600 71
22581006653700 57
22581006653800 53
22581006653900 36
22581006654000 24
22581006654100 81
22581006654200 35
22581006654300 22
22581006654400 8
22581006654500 18
22581006654600 22
22581006654700 26
22581006654800 6
22581006654900 16
22581006656000 47
22581006656100 16
22581006656700 13
22581006656800 12
22581006657000 7
22582006647700 8
22582006648100 34
22582006648200 46
22582006648300 42
22582006648400 28
22582006648500 27
22582006648600 20
22582006650500 5
22582006650600 38
22582006650800 33
22582006651000 119
22582006651100 101
22582006651200 128
22582006651300 80
22582006651400 145
22582006651500 57
22582006651600 18
22582006651700 27
22582006651800 54
22582006652000 12
22582006652100 67
22582006652200 10
22582006652400 6
22582006652500 75
22582006652600 66
22582006652800 9
22582006652900 39
22582006653000 36
22582006653100 10
22582006653200 12
22582006653300 28
22582006653400 45
22582006653500 52
22582006653600 28
22582006653700 36
22582006653800 102
22582006653900 25
22582006654000 34
22582006654100 34
22582006654200 12
22582006654300 19
22582006654400 35
22582006654500 15
22582006654600 34
22582006654700 32
22582006654800 15
22582006654900 11
22582006655000 26
22582006655900 14
22582006656000 75
22582006656700 47
22583006647700 15
22583006647800 13
22583006647900 35
22583006648000 8
22583006648100 61
22583006648200 47
22583006648300 50
22583006648400 36
22583006648500 61
22583006648600 35
22583006651100 113
22583006651200 171
22583006651400 56
22583006651500 64
22583006651600 31
22583006651700 31
22583006651800 160
22583006652100 33
22583006652200 32
22583006652600 15
22583006652800 24
22583006652900 34
22583006653000 13
22583006653100 37
22583006653200 19
22583006653300 25
22583006653400 19
22583006653500 19
22583006653600 41
22583006653700 37
22583006653800 44
22583006653900 49
22583006654000 56
22583006654100 32
22583006654200 38
22583006654300 56
22583006654400 42
22583006654500 7
22583006654600 24
22583006654700 10
22583006654800 16
22583006654900 29
22583006655000 79
22583006655100 14
22583006655800 12
22583006655900 7
22583006656000 53
22583006656100 28
22583006656500 5
22583006656700 33
22584006647700 13
22584006647800 44
22584006647900 41
22584006648000 52
22584006648100 25
22584006648200 27
22584006648300 39
22584006648400 67
22584006648500 49
22584006648600 39
22584006648700 15
22584006651300 8
22584006651800 59
22584006652100 58
22584006652200 59
22584006652300 30
22584006652400 27
22584006652500 38
22584006652600 27
22584006652700 18
22584006652800 20
22584006652900 25
22584006653000 37
22584006653100 41
22584006653200 26
22584006653300 13
22584006653400 7
22584006653500 5
22584006653600 35
22584006653700 86
22584006653800 45
22584006653900 43
22584006654000 42
22584006654100 16
22584006654200 19
22584006654300 29
22584006654400 32
22584006654500 26
22584006654600 11
22584006654700 10
22584006654800 50
22584006654900 31
22584006655000 44
22584006656000 95
22584006656100 47
22584006656200 18
22584006656300 6
22584006657500 10
22585006647700 6
22585006647800 18
22585006647900 45
22585006648000 33
22585006648100 25
22585006648200 23
22585006648400 10
22585006648500 22
22585006648600 50
22585006648700 5
22585006649300 6
22585006650000 5
22585006650400 201
22585006650500 165
22585006650700 64
22585006650800 214
22585006651000 49
22585006651100 32
22585006651200 39
22585006651300 45
22585006651400 78
22585006651500 46
22585006651600 82
22585006651700 102
22585006651800 46
22585006651900 102
22585006652200 59
22585006652300 35
22585006652400 29
22585006652500 23
22585006652600 69
22585006652700 33
22585006652800 29
22585006652900 22
22585006653000 27
22585006653100 28
22585006653200 38
22585006653300 26
22585006653400 5
22585006653500 31
22585006653600 33
22585006653700 24
22585006653800 5
22585006653900 46
22585006654000 11
22585006654100 12
22585006654200 74
22585006654300 6
22585006654400 24
22585006654500 36
22585006654600 8
22585006654700 13
22585006654800 28
22585006654900 36
22585006655000 29
22585006656000 15
22585006656100 39
22585006656200 14
22586006647800 26
22586006647900 49
22586006648000 22
22586006648100 26
22586006648200 52
22586006648300 70
22586006648400 44
22586006648500 23
22586006648600 22
22586006649300 11
22586006650000 95
22586006650100 6
22586006650400 319
22586006650500 99
22586006650700 58
22586006650800 141
22586006650900 31
22586006651000 182
22586006651100 191
22586006651200 66
22586006651300 68
22586006651400 12
22586006651500 22
22586006651600 127
22586006651800 29
22586006651900 22
22586006652200 10
22586006652300 50
22586006652400 36
22586006652500 16
22586006652600 65
22586006652700 19
22586006652800 28
22586006652900 62
22586006653000 38
22586006653100 38
22586006653200 68
22586006653300 26
22586006653400 21
22586006653500 35
22586006653600 48
22586006653700 5
22586006653800 17
22586006653900 43
22586006654000 11
22586006654100 12
22586006654200 38
22586006654300 30
22586006654400 26
22586006654500 32
22586006654600 18
22586006654800 17
22586006654900 10
22586006655000 34
22587006647800 41
22587006647900 33
22587006648000 24
22587006648100 38
22587006648200 30
22587006648300 50
22587006648400 54
22587006648500 40
22587006649400 6
22587006650700 62
22587006650800 46
22587006650900 48
22587006651000 123
22587006651100 98
22587006651300 44
22587006651400 22
22587006651500 52
22587006651600 31
22587006651900 8
22587006652000 97
22587006652100 8
22587006652200 28
22587006652300 31
22587006652400 20
22587006652500 31
22587006652600 54
22587006652700 36
22587006652800 35
22587006652900 41
22587006653000 30
22587006653300 6
22587006653500 15
22587006653600 22
22587006653700 32
22587006653800 43
22587006653900 38
22587006654000 34
22587006654100 46
22587006654200 24
22587006654300 52
22587006654400 18
22587006654500 22
22587006654600 30
22587006654700 30
22587006654800 33
22587006654900 46
22587006655000 12
22588006648000 16
22588006648100 42
22588006648200 35
22588006648300 28
22588006648400 64
22588006648500 46
22588006648600 22
22588006648700 11
22588006650700 27
22588006650800 21
22588006650900 21
22588006651000 87
22588006651100 76
22588006651200 55
22588006651300 268
22588006651400 67
22588006651500 52
22588006651600 30
22588006651700 40
22588006651800 5
22588006651900 64
22588006652000 24
22588006652100 53
22588006652200 59
22588006652300 22
22588006652400 39
22588006652500 25
22588006652600 31
22588006652700 28
22588006652800 34
22588006652900 18
22588006653000 19
22588006653100 42
22588006653200 6
22588006653500 9
22588006653600 28
22588006653700 8
22588006653800 13
22588006653900 27
22588006654000 17
22588006654100 21
22588006654200 23
22588006654300 12
22588006654400 51
22588006654500 62
22588006654600 54
22588006654700 23
22588006654800 41
22588006654900 29
22589006648000 5
22589006648100 20
22589006648200 17
22589006648300 20
22589006648400 10
22589006648500 17
22589006648600 17
22589006648700 48
22589006648800 18
22589006648900 43
22589006649000 11
22589006650100 42
22589006650200 140
22589006650700 30
22589006650800 9
22589006651100 37
22589006651200 217
22589006651300 62
22589006651400 31
22589006651500 64
22589006651600 48
22589006651700 22
22589006651800 45
22589006651900 40
22589006652000 31
22589006652100 42
22589006652300 13
22589006652400 38
22589006652500 28
22589006652600 32
22589006652700 22
22589006652800 35
22589006652900 11
22589006653000 16
22589006653100 11
22589006653200 24
22589006653300 32
22589006653400 40
22589006653500 23
22589006653600 39
22589006653700 32
22589006653800 33
22589006653900 40
22589006654000 32
22589006654100 58
22589006654200 24
22589006654300 11
22589006654400 20
22589006654500 16
22589006654600 34
22589006654700 12
22589006654800 35
22589006654900 49
22590006648100 35
22590006648200 8
22590006648500 19
22590006648600 12
22590006648700 44
22590006648800 41
22590006648900 9
22590006649000 23
22590006650100 21
22590006650200 148
22590006650600 129
22590006650700 73
22590006650800 111
22590006650900 104
22590006651100 20
22590006651200 157
22590006651400 39
22590006651500 15
22590006651600 33
22590006651700 52
22590006651800 27
22590006651900 57
22590006652000 35
22590006652100 59
22590006652200 11
22590006652300 43
22590006652400 15
22590006652500 28
22590006652700 25
22590006652800 37
22590006652900 33
22590006653000 34
22590006653100 21
22590006653200 20
22590006653300 49
22590006653400 35
22590006653500 23
22590006653600 36
22590006653700 46
22590006653800 56
22590006653900 24
22590006654000 40
22590006654100 18
22590006654200 35
22590006654300 48
22590006654400 18
22590006654500 66
22590006654900 15
22590006655000 7
22591006648100 5
22591006648200 28
22591006648300 24
22591006648400 12
22591006648600 19
22591006648700 37
22591006648800 41
22591006648900 55
22591006649000 19
22591006649100 8
22591006650100 55
22591006650200 93
22591006650300 111
22591006650500 32
22591006650600 136
22591006650700 109
22591006650800 41
22591006650900 146
22591006651000 121
22591006651200 15
22591006651400 33
22591006651500 35
22591006651600 34
22591006651700 33
22591006651800 50
22591006651900 53
22591006652000 47
22591006652100 30
22591006652200 28
22591006652300 38
22591006652400 26
22591006652500 8
22591006652600 14
22591006652700 48
22591006652800 46
22591006652900 51
22591006653000 50
22591006653100 34
22591006653200 36
22591006653400 34
22591006653500 52
22591006653600 51
22591006653700 51
22591006653800 21
22591006653900 25
22591006654000 21
22591006654100 29
22591006654200 62
22591006654300 26
22591006654400 35
22591006654500 23
22591006654600 27
22591006654700 22
22591006654800 34
22591006654900 33
22592006648200 6
22592006648300 37
22592006648400 28
22592006648700 27
22592006648800 19
22592006648900 16
22592006649000 16
22592006650000 164
22592006650100 76
22592006650200 7
22592006650300 88
22592006650400 105
22592006650500 23
22592006650600 64
22592006650700 56
22592006650800 13
22592006650900 23
22592006651000 166
22592006651100 87
22592006651400 34
22592006651500 32
22592006651600 25
22592006651700 28
22592006651800 30
22592006651900 45
22592006652000 41
22592006652100 20
22592006652200 36
22592006652300 54
22592006652400 40
22592006652500 32
22592006652600 18
22592006652700 38
22592006652800 59
22592006652900 80
22592006653000 25
22592006653100 32
22592006653200 17
22592006653300 28
22592006653400 45
22592006653500 18
22592006653600 31
22592006653700 41
22592006653800 15
22592006653900 34
22592006654000 28
22592006654100 30
22592006654200 22
22592006654300 22
22592006654400 19
22592006654500 21
22592006654600 37
22592006654900 8
22593006648300 15
22593006648400 33
22593006648500 9
22593006648700 8
22593006648800 25
22593006650000 87
22593006650100 38
22593006650200 100
22593006650300 40
22593006650400 127
22593006650500 8
22593006650600 24
22593006650700 19
22593006650800 7
22593006650900 15
22593006651000 22
22593006651100 46
